micRMS,lux,tMid,dT_tb,DOproxy,tds_mV,irObj,irAmb,airT,airRH,pressure_hPa,pump,manual_override,label
0.0,188.9,25.0,0.0,8.18,420.0,27.11,24.75,26.0,59.0,1004.6,0.0,0.0,calm
0.0,188.9,25.0,0.06,8.18,425.0,27.15,24.77,26.0,59.0,1004.7,0.0,0.0,calm
0.0,189.2,25.0,0.06,8.18,434.0,27.21,24.75,26.0,59.0,1004.6,0.0,0.0,calm
0.0,189.1,24.94,0.0,8.19,426.0,27.17,24.69,26.0,59.0,1004.7,0.0,0.0,calm
0.0,189.4,25.0,0.0,8.18,457.0,27.17,24.75,26.0,59.0,1004.7,0.0,0.0,calm
51.7,189.7,25.0,0.06,8.18,416.0,27.17,24.71,26.0,59.0,1004.7,0.0,0.0,other
62.22,189.6,25.0,0.0,8.18,409.0,27.21,24.71,26.0,59.0,1004.6,0.0,0.0,human-tap
0.0,189.0,24.94,0.0,8.19,405.0,27.11,24.69,26.0,59.0,1004.6,0.0,0.0,calm
0.0,179.1,24.94,0.0,8.19,415.0,27.25,24.69,26.0,59.0,1004.6,0.0,0.0,calm
0.0,84.3,25.0,0.06,8.18,405.0,27.99,24.71,26.0,59.0,1004.7,0.0,0.0,calm
0.0,82.5,25.0,0.0,8.18,409.0,28.23,24.69,26.0,59.0,1004.7,0.0,0.0,calm
0.0,82.1,25.0,0.06,8.18,404.0,28.27,24.69,26.0,60.0,1004.7,0.0,0.0,calm
0.0,82.1,24.94,0.0,8.19,407.0,28.31,24.69,26.0,60.0,1004.7,0.0,0.0,calm
0.0,82.1,24.94,0.0,8.19,409.0,28.27,24.71,26.0,60.0,1004.6,0.0,0.0,calm
0.0,82.2,25.0,0.0,8.18,410.0,28.27,24.65,26.0,60.0,1004.8,0.0,0.0,calm
0.0,81.7,25.0,0.0,8.18,407.0,28.37,24.71,26.0,60.0,1004.6,0.0,0.0,calm
0.0,81.4,25.0,0.0,8.18,406.0,28.37,24.71,26.0,59.0,1004.6,0.0,0.0,calm
0.0,188.8,24.94,0.06,8.19,400.0,27.29,24.69,26.0,59.0,1004.6,0.0,0.0,calm
0.0,191.8,25.0,0.0,8.18,417.0,27.21,24.75,26.0,59.0,1004.6,0.0,0.0,calm
0.0,191.3,25.0,0.0,8.18,421.0,27.11,24.69,26.0,59.0,1004.6,0.0,0.0,calm
0.0,191.5,25.0,0.06,8.18,394.0,27.17,24.71,26.0,59.0,1004.6,0.0,0.0,calm
109.35,174.6,24.94,0.0,8.19,404.0,27.67,24.69,26.0,59.0,1004.7,0.0,0.0,other
58.37,114.9,24.94,0.06,8.19,408.0,28.97,24.77,26.0,59.0,1004.6,0.0,0.0,human-tap
86.17,107.7,25.0,0.0,8.18,405.0,29.77,24.83,26.1,60.0,1004.7,0.0,0.0,human-tap
258.62,83.8,25.0,0.0,8.18,409.0,31.35,24.89,26.1,61.0,1004.5,0.0,0.0,other
281.62,78.7,25.0,0.0,8.18,415.0,32.61,25.03,26.1,62.0,1004.6,0.0,0.0,other
239.1,78.5,25.0,0.0,8.18,409.0,32.45,25.13,26.1,63.0,1004.6,0.0,0.0,disturbance
298.3,77.9,25.0,0.0,8.18,409.0,32.25,25.23,26.2,64.0,1004.6,0.0,0.0,disturbance
320.68,77.4,25.0,0.0,8.18,411.0,32.55,25.31,26.2,65.0,1004.6,0.0,0.0,disturbance
391.62,77.6,24.94,0.0,8.19,409.0,31.99,25.47,26.2,66.0,1004.7,0.0,0.0,disturbance
0.0,169.5,25.0,0.0,8.18,407.0,29.57,25.55,26.2,66.0,1004.7,0.0,0.0,calm
0.0,191.6,25.0,0.0,8.18,398.0,27.47,25.55,26.2,66.0,1004.7,0.0,0.0,calm
0.0,191.8,25.0,0.06,8.18,409.0,27.15,25.53,26.3,65.0,1004.6,0.0,0.0,calm
0.0,191.8,24.94,0.0,8.19,419.0,26.99,25.55,26.3,65.0,1004.7,0.0,0.0,calm
0.0,191.5,24.94,0.06,8.19,393.0,27.03,25.57,26.3,64.0,1004.6,0.0,0.0,calm
0.0,191.8,24.94,0.13,8.19,400.0,26.93,25.57,26.3,64.0,1004.6,0.0,0.0,calm
0.0,191.8,25.0,0.0,8.18,403.0,26.97,25.57,26.3,63.0,1004.6,0.0,0.0,calm
0.0,191.9,25.0,0.0,8.18,410.0,26.97,25.55,26.3,63.0,1004.6,0.0,0.0,calm
0.0,191.8,25.0,0.0,8.18,431.0,26.97,25.55,26.3,62.0,1004.7,0.0,0.0,calm
0.0,191.6,25.0,0.0,8.18,406.0,26.99,25.57,26.3,62.0,1004.7,0.0,0.0,calm
0.0,191.7,25.0,0.06,8.18,411.0,26.93,25.55,26.3,62.0,1004.7,0.0,0.0,calm
0.0,191.6,24.94,0.0,8.19,409.0,26.99,25.53,26.3,61.0,1004.7,0.0,0.0,calm
0.0,191.6,24.94,0.06,8.19,410.0,26.99,25.55,26.3,60.0,1004.7,0.0,0.0,calm
90.98,191.5,25.0,0.0,8.18,403.0,26.99,25.53,26.3,60.0,1004.7,0.0,0.0,other
0.0,191.6,25.0,0.0,8.18,403.0,26.99,25.57,26.3,60.0,1004.6,0.0,0.0,calm
0.0,191.5,24.94,0.0,8.19,404.0,26.97,25.49,26.3,59.0,1004.6,0.0,0.0,calm
0.0,191.5,25.0,0.0,8.18,409.0,26.99,25.55,26.3,59.0,1004.6,0.0,0.0,calm
0.0,191.6,25.0,0.0,8.18,409.0,27.03,25.53,26.3,59.0,1004.6,0.0,0.0,calm
0.0,191.7,25.0,0.0,8.18,424.0,26.93,25.53,26.3,59.0,1004.6,0.0,0.0,calm
0.0,191.5,25.0,0.0,8.18,408.0,26.99,25.51,26.3,59.0,1004.6,0.0,0.0,calm
0.0,191.6,25.0,0.0,8.18,407.0,26.99,25.53,26.3,59.0,1004.6,0.0,0.0,calm
0.0,191.4,25.0,0.0,8.18,409.0,27.03,25.51,26.3,59.0,1004.7,0.0,0.0,calm
0.0,191.6,25.0,0.0,8.18,404.0,26.93,25.47,26.3,59.0,1004.6,0.0,0.0,calm
0.0,191.7,25.0,0.0,8.18,409.0,26.97,25.49,26.3,59.0,1004.6,0.0,0.0,calm
0.0,191.6,25.0,0.0,8.18,419.0,26.93,25.47,26.3,60.0,1004.7,0.0,0.0,calm
0.0,191.5,25.0,0.06,8.18,411.0,27.03,25.49,26.3,60.0,1004.6,0.0,0.0,calm
0.0,191.7,25.0,0.0,8.18,420.0,27.03,25.47,26.3,60.0,1004.6,0.0,0.0,calm
0.0,192.0,24.94,0.0,8.19,393.0,26.97,25.49,26.3,60.0,1004.6,0.0,0.0,calm
0.0,191.9,25.0,0.0,8.18,419.0,27.05,25.47,26.3,61.0,1004.7,0.0,0.0,calm
40.84,191.9,25.0,0.0,8.18,395.0,26.93,25.51,26.3,61.0,1004.7,0.0,0.0,calm
0.0,191.9,24.94,0.0,8.19,419.0,26.99,25.45,26.3,61.0,1004.6,0.0,0.0,calm
0.0,191.6,25.0,0.0,8.18,399.0,26.99,25.47,26.3,61.0,1004.6,0.0,0.0,calm
0.0,191.4,25.0,0.0,8.18,394.0,26.97,25.45,26.3,61.0,1004.6,0.0,0.0,calm
0.0,191.5,25.0,0.0,8.18,410.0,26.97,25.45,26.3,61.0,1004.7,0.0,0.0,calm
0.0,191.4,25.0,0.0,8.18,407.0,27.03,25.43,26.3,61.0,1004.6,0.0,0.0,calm
0.0,191.4,24.94,0.06,8.19,420.0,26.97,25.43,26.3,61.0,1004.7,0.0,0.0,calm
0.0,191.5,25.0,0.0,8.18,420.0,27.03,25.43,26.3,61.0,1004.6,0.0,0.0,calm
0.0,191.3,25.0,0.0,8.18,411.0,26.91,25.37,26.3,60.0,1004.6,0.0,0.0,calm
0.0,191.5,25.0,0.0,8.18,400.0,27.03,25.39,26.3,60.0,1004.6,0.0,0.0,calm
0.0,191.5,25.0,0.0,8.18,406.0,26.97,25.39,26.3,60.0,1004.7,0.0,0.0,calm
0.0,191.4,25.0,0.06,8.18,393.0,26.99,25.39,26.3,60.0,1004.7,0.0,0.0,calm
0.0,191.7,25.0,0.0,8.18,410.0,27.03,25.37,26.3,60.0,1004.7,0.0,0.0,calm
0.0,191.8,24.94,0.0,8.19,415.0,27.03,25.35,26.3,60.0,1004.7,0.0,0.0,calm
0.0,191.6,24.94,0.0,8.19,407.0,26.97,25.35,26.3,61.0,1004.7,0.0,0.0,calm
0.0,191.7,25.0,0.06,8.18,417.0,26.97,25.37,26.3,61.0,1004.6,0.0,0.0,calm
0.0,191.5,25.0,0.0,8.18,405.0,26.97,25.33,26.3,61.0,1004.6,0.0,0.0,calm
0.0,191.5,25.0,0.0,8.18,403.0,27.03,25.33,26.3,61.0,1004.6,0.0,0.0,calm
0.0,191.6,25.0,0.06,8.18,414.0,26.97,25.33,26.3,60.0,1004.7,0.0,0.0,calm
0.0,191.5,25.0,0.0,8.18,395.0,26.97,25.31,26.3,60.0,1004.7,0.0,0.0,calm
0.0,191.6,25.0,0.0,8.18,402.0,26.91,25.31,26.3,60.0,1004.6,0.0,0.0,calm
48.86,191.6,24.94,0.06,8.19,416.0,26.97,25.33,26.2,59.0,1004.8,0.0,0.0,other
0.0,191.7,25.0,0.0,8.18,409.0,26.97,25.33,26.2,59.0,1004.7,0.0,0.0,calm
0.0,191.6,25.0,0.0,8.18,411.0,26.99,25.29,26.2,59.0,1004.6,0.0,0.0,calm
0.0,191.3,25.0,0.0,8.18,409.0,27.03,25.31,26.2,58.0,1004.6,0.0,0.0,calm
0.0,191.5,25.0,0.06,8.18,398.0,27.03,25.31,26.2,58.0,1004.6,0.0,0.0,calm
0.0,191.7,25.0,0.0,8.18,400.0,27.03,25.31,26.2,58.0,1004.6,0.0,0.0,calm
0.0,191.5,25.0,0.06,8.18,407.0,26.97,25.29,26.2,58.0,1004.7,0.0,0.0,calm
0.0,191.6,24.94,0.0,8.19,421.0,26.97,25.25,26.2,57.0,1004.7,0.0,0.0,calm
0.0,191.6,25.0,0.0,8.18,417.0,27.05,25.27,26.2,57.0,1004.6,0.0,0.0,calm
0.0,191.8,25.0,0.0,8.18,410.0,26.93,25.25,26.2,57.0,1004.6,0.0,0.0,calm
0.0,191.6,25.0,0.0,8.18,409.0,26.91,25.25,26.2,57.0,1004.7,0.0,0.0,calm
0.0,191.4,25.0,0.0,8.18,406.0,26.99,25.27,26.2,57.0,1004.6,0.0,0.0,calm
0.0,191.6,25.0,0.0,8.18,398.0,27.03,25.23,26.2,57.0,1004.7,0.0,0.0,calm
0.0,191.5,24.94,0.0,8.19,407.0,27.05,25.27,26.2,57.0,1004.7,0.0,0.0,calm
0.0,191.3,25.0,0.0,8.18,419.0,26.97,25.23,26.2,57.0,1004.7,0.0,0.0,calm
0.0,191.3,25.0,0.0,8.18,415.0,27.05,25.29,26.2,57.0,1004.6,0.0,0.0,calm
0.0,191.2,25.0,0.0,8.18,400.0,27.03,25.25,26.2,57.0,1004.6,0.0,0.0,calm
0.0,191.3,25.0,0.0,8.18,403.0,27.05,25.25,26.2,58.0,1004.6,0.0,0.0,calm
0.0,191.2,24.94,0.0,8.19,417.0,27.05,25.19,26.2,58.0,1004.7,0.0,0.0,calm
0.0,191.2,25.0,0.0,8.18,433.0,26.99,25.23,26.2,58.0,1004.6,0.0,0.0,calm
0.0,191.2,24.94,0.0,8.19,402.0,26.97,25.23,26.2,58.0,1004.7,0.0,0.0,calm
0.0,191.3,25.0,0.0,8.18,415.0,27.03,25.21,26.2,58.0,1004.7,0.0,0.0,calm
0.0,191.1,25.0,0.0,8.18,409.0,26.93,25.19,26.2,58.0,1004.5,0.0,0.0,calm
0.0,191.3,24.94,0.06,8.19,408.0,26.97,25.21,26.2,58.0,1004.5,0.0,0.0,calm
0.0,191.2,25.0,0.06,8.18,410.0,26.91,25.13,26.2,58.0,1004.6,0.0,0.0,calm
0.0,191.2,25.0,0.0,8.18,391.0,27.03,25.21,26.2,58.0,1004.7,0.0,0.0,calm
0.0,191.1,25.0,0.0,8.18,419.0,27.03,25.21,26.2,59.0,1004.5,0.0,0.0,calm
0.0,191.1,25.0,0.0,8.18,405.0,27.03,25.19,26.2,59.0,1004.6,0.0,0.0,calm
0.0,191.1,25.0,0.13,8.18,425.0,26.99,25.15,26.2,59.0,1004.6,0.0,0.0,calm
0.0,191.3,25.0,0.0,8.18,416.0,27.03,25.21,26.2,59.0,1004.6,0.0,0.0,calm
0.0,191.2,24.94,0.0,8.19,409.0,26.99,25.15,26.2,59.0,1004.7,0.0,0.0,calm
0.0,191.3,25.0,0.0,8.18,407.0,27.03,25.19,26.2,59.0,1004.6,0.0,0.0,calm
0.0,191.3,25.0,0.0,8.18,415.0,26.99,25.15,26.2,59.0,1004.6,0.0,0.0,calm
0.0,191.5,25.0,0.0,8.18,401.0,26.97,25.15,26.2,59.0,1004.6,0.0,0.0,calm
0.0,191.3,24.94,0.0,8.19,407.0,27.05,25.15,26.2,59.0,1004.7,0.0,0.0,calm
0.0,191.3,25.0,0.0,8.18,411.0,27.03,25.19,26.2,59.0,1004.6,0.0,0.0,calm
0.0,191.2,25.0,0.0,8.18,415.0,27.05,25.13,26.2,59.0,1004.6,0.0,0.0,calm
0.0,191.4,25.0,0.0,8.18,417.0,26.97,25.13,26.2,59.0,1004.6,0.0,0.0,calm
0.0,191.3,25.0,0.0,8.18,423.0,27.03,25.13,26.2,59.0,1004.5,0.0,0.0,calm
56.87,191.4,25.0,0.0,8.18,415.0,27.03,25.11,26.2,59.0,1004.6,0.0,0.0,other
0.0,191.3,25.0,0.0,8.18,407.0,26.99,25.13,26.2,59.0,1004.6,0.0,0.0,calm
0.0,191.3,24.94,0.06,8.19,410.0,26.99,25.11,26.2,59.0,1004.6,0.0,0.0,calm
0.0,191.3,25.0,0.0,8.18,407.0,26.97,25.11,26.2,59.0,1004.6,0.0,0.0,calm
0.0,191.3,24.94,0.0,8.19,400.0,26.97,25.09,26.1,59.0,1004.6,0.0,0.0,calm
0.0,191.1,24.94,0.06,8.19,406.0,27.03,25.13,26.1,59.0,1004.6,0.0,0.0,calm
0.0,191.2,25.0,0.0,8.18,411.0,26.97,25.09,26.1,59.0,1004.5,0.0,0.0,calm
0.0,191.0,24.94,0.06,8.19,409.0,26.97,25.09,26.1,59.0,1004.6,0.0,0.0,calm
0.0,191.0,25.0,0.06,8.18,415.0,26.99,25.13,26.1,59.0,1004.7,0.0,0.0,calm
44.07,190.8,25.0,0.06,8.18,410.0,27.03,25.11,26.1,59.0,1004.7,0.0,0.0,calm
0.0,191.1,24.94,0.0,8.19,415.0,27.03,25.13,26.1,59.0,1004.6,0.0,0.0,calm
0.0,190.3,24.94,0.0,8.19,391.0,27.03,25.11,26.1,59.0,1004.7,0.0,0.0,calm
0.0,143.0,25.0,0.0,8.18,393.0,27.55,25.13,26.1,59.0,1004.6,0.0,0.0,calm
0.0,93.8,25.0,0.06,8.18,420.0,28.13,25.07,26.1,60.0,1004.6,0.0,0.0,calm
0.0,88.0,24.94,0.06,8.19,409.0,28.25,25.09,26.1,60.0,1004.6,0.0,0.0,calm
0.0,113.7,24.94,0.0,8.19,404.0,27.99,25.09,26.1,60.0,1004.7,0.0,0.0,calm
0.0,190.4,25.0,0.0,8.18,421.0,27.03,25.13,26.1,60.0,1004.6,0.0,0.0,calm
0.0,158.9,25.0,0.0,8.18,407.0,27.09,25.09,26.1,59.0,1004.7,0.0,0.0,calm
122.91,83.9,25.0,0.0,8.18,419.0,28.11,25.07,26.1,59.0,1004.6,0.0,0.0,other
174.24,82.6,25.0,0.0,8.18,407.0,30.05,25.15,26.2,60.0,1004.6,0.0,0.0,human-tap
198.66,80.1,24.94,0.0,8.19,417.0,30.85,25.27,26.2,61.0,1004.6,0.0,0.0,human-tap
73.4,76.2,24.94,0.06,8.19,415.0,30.91,25.37,26.2,62.0,1004.6,0.0,0.0,other
0.0,92.7,25.0,0.06,8.18,409.0,29.55,25.45,26.2,62.0,1004.7,0.0,0.0,calm
0.0,147.8,24.94,0.0,8.19,391.0,27.69,25.45,26.3,62.0,1004.7,0.0,0.0,calm
0.0,182.9,25.0,0.0,8.18,424.0,27.35,25.45,26.3,62.0,1004.5,0.0,0.0,calm
0.0,87.0,25.0,0.0,8.18,424.0,27.35,25.39,26.3,61.0,1004.6,0.0,0.0,calm
102.09,77.5,25.0,0.0,8.18,419.0,28.69,25.39,26.3,61.0,1004.7,0.0,0.0,other
187.31,76.5,25.0,0.0,8.18,409.0,30.25,25.53,26.3,62.0,1004.7,0.0,0.0,human-tap
186.55,75.3,25.0,0.06,8.18,405.0,30.63,25.53,26.3,63.0,1004.6,0.0,0.0,human-tap
175.76,74.5,25.0,0.0,8.18,406.0,30.53,25.55,26.3,63.0,1004.6,0.0,0.0,other
182.22,73.8,25.0,0.0,8.18,408.0,30.39,25.59,26.4,64.0,1004.6,0.0,0.0,other
129.54,73.0,25.0,0.0,8.18,407.0,30.19,25.67,26.4,64.0,1004.6,0.0,0.0,other
116.09,72.2,25.0,0.06,8.18,409.0,29.83,25.65,26.4,65.0,1004.6,0.0,0.0,disturbance
145.94,71.4,25.0,0.0,8.18,409.0,29.71,25.71,26.4,65.0,1004.7,0.0,0.0,disturbance
126.03,70.5,25.0,0.0,8.18,414.0,30.29,25.69,26.5,65.0,1004.6,0.0,0.0,disturbance
139.6,70.6,25.0,0.0,8.18,407.0,30.37,25.69,26.5,66.0,1004.6,0.0,0.0,disturbance
176.47,69.8,25.0,0.0,8.18,415.0,30.29,25.79,26.5,66.0,1004.6,0.0,0.0,disturbance
215.31,69.4,25.0,0.0,8.18,409.0,30.23,25.77,26.6,66.0,1004.6,0.0,0.0,disturbance
158.97,69.1,25.0,0.0,8.18,417.0,29.75,25.79,26.6,67.0,1004.6,0.0,0.0,disturbance
176.69,72.2,25.0,0.0,8.18,408.0,29.25,25.81,26.6,67.0,1004.6,0.0,0.0,disturbance
0.0,186.9,25.0,0.0,8.18,417.0,27.35,25.81,26.6,66.0,1004.6,0.0,0.0,calm
0.0,189.9,25.0,0.0,8.18,395.0,27.15,25.81,26.6,65.0,1004.7,0.0,0.0,calm
0.0,189.7,25.0,0.0,8.18,402.0,27.15,25.75,26.6,65.0,1004.7,0.0,0.0,calm
0.0,189.6,25.0,0.0,8.18,425.0,27.11,25.75,26.6,64.0,1004.6,0.0,0.0,calm
0.0,189.5,24.94,0.0,8.19,417.0,27.11,25.75,26.6,64.0,1004.7,0.0,0.0,calm
0.0,189.6,25.0,0.0,8.18,430.0,27.09,25.73,26.6,63.0,1004.7,0.0,0.0,calm
0.0,189.2,25.0,0.0,8.18,414.0,27.09,25.73,26.6,62.0,1004.6,0.0,0.0,calm
0.0,189.3,25.0,0.0,8.18,424.0,27.05,25.71,26.6,61.0,1004.7,0.0,0.0,calm
0.0,189.6,25.0,0.0,8.18,410.0,27.03,25.71,26.6,61.0,1004.7,0.0,0.0,calm
0.0,3773.2,24.94,0.0,8.19,420.0,26.99,25.71,26.6,60.0,1004.6,0.0,0.0,glare
0.0,190.3,24.94,0.0,8.19,398.0,27.11,25.71,26.6,60.0,1004.6,0.0,0.0,calm
0.0,190.3,25.0,0.0,8.18,409.0,27.05,25.67,26.6,59.0,1004.8,1.0,1.0,manual-override
0.0,189.7,25.0,0.0,8.18,419.0,27.05,25.71,26.6,59.0,1004.7,1.0,1.0,manual-override
0.0,189.8,25.0,0.06,8.18,400.0,26.97,25.61,26.6,59.0,1004.7,1.0,1.0,manual-override
0.0,189.7,25.0,0.0,8.18,420.0,26.99,25.65,26.6,58.0,1004.7,0.0,0.0,calm
0.0,189.6,25.0,0.06,8.18,391.0,26.87,25.61,26.6,58.0,1004.7,0.0,0.0,calm
0.0,189.7,24.94,0.0,8.19,395.0,26.83,25.61,26.6,58.0,1004.7,0.0,0.0,calm
0.0,189.5,25.0,0.0,8.18,434.0,26.85,25.61,26.6,58.0,1004.6,0.0,0.0,calm
0.0,189.3,25.0,0.0,8.18,416.0,26.77,25.59,26.6,58.0,1004.7,0.0,0.0,calm
0.0,189.6,25.0,0.0,8.18,431.0,26.73,25.55,26.6,59.0,1004.6,0.0,0.0,calm
0.0,189.4,24.94,0.0,8.19,415.0,26.77,25.55,26.6,59.0,1004.7,0.0,0.0,calm
0.0,189.6,25.0,0.0,8.18,403.0,26.83,25.53,26.6,59.0,1004.6,0.0,0.0,calm
0.0,189.6,25.0,0.0,8.18,398.0,26.83,25.53,26.6,59.0,1004.6,0.0,0.0,calm
0.0,189.4,25.0,0.0,8.18,411.0,26.79,25.51,26.6,59.0,1004.6,0.0,0.0,calm
0.0,189.7,25.0,0.0,8.18,414.0,26.83,25.51,26.6,59.0,1004.6,0.0,0.0,calm
0.0,189.5,24.94,0.0,8.19,417.0,26.77,25.49,26.6,59.0,1004.7,1.0,1.0,manual-override
0.0,189.7,25.0,0.0,8.18,406.0,26.77,25.49,26.6,59.0,1004.6,1.0,1.0,manual-override
0.0,189.8,25.0,0.0,8.18,391.0,26.73,25.49,26.6,59.0,1004.7,1.0,1.0,manual-override
0.0,189.7,25.0,0.0,8.18,405.0,26.37,25.47,26.6,59.0,1004.7,0.0,0.0,calm
0.0,189.4,25.0,0.0,8.18,419.0,26.47,25.49,26.6,60.0,1004.7,0.0,0.0,calm
0.0,189.4,24.94,0.0,8.19,409.0,26.49,25.49,26.6,60.0,1004.6,0.0,0.0,calm
0.0,189.6,24.94,0.0,8.19,411.0,26.49,25.43,26.6,60.0,1004.6,0.0,0.0,calm
0.0,189.5,25.0,0.0,8.18,395.0,26.49,25.43,26.6,60.0,1004.6,0.0,0.0,calm
0.0,189.8,24.94,0.0,8.19,390.0,26.55,25.39,26.6,61.0,1004.6,0.0,0.0,calm
0.0,189.6,24.94,0.0,8.19,415.0,26.55,25.39,26.6,61.0,1004.6,0.0,0.0,calm
0.0,189.8,25.0,0.0,8.18,417.0,26.61,25.37,26.6,61.0,1004.7,0.0,0.0,calm
0.0,189.6,24.94,0.0,8.19,407.0,26.53,25.37,26.6,61.0,1004.6,1.0,1.0,manual-override
0.0,189.4,24.94,0.0,8.19,403.0,26.43,25.35,26.6,62.0,1004.6,1.0,1.0,manual-override
0.0,189.4,24.94,0.0,8.19,405.0,26.31,25.35,26.6,62.0,1004.6,1.0,1.0,manual-override
0.0,189.3,24.94,0.0,8.19,406.0,26.27,25.33,26.6,63.0,1004.6,0.0,0.0,calm
0.0,189.2,25.0,0.0,8.18,425.0,26.21,25.31,26.6,63.0,1004.7,0.0,0.0,calm
0.0,189.1,24.94,0.0,8.19,409.0,26.23,25.31,26.6,64.0,1004.7,0.0,0.0,calm
0.0,189.3,25.0,0.0,8.18,410.0,26.27,25.29,26.6,64.0,1004.6,0.0,0.0,calm
0.0,189.2,25.0,0.0,8.18,404.0,26.23,25.29,26.6,65.0,1004.6,0.0,0.0,calm
0.0,189.2,24.94,0.0,8.19,398.0,26.21,25.25,26.5,66.0,1004.7,0.0,0.0,calm
0.0,189.6,24.94,0.0,8.19,393.0,26.23,25.23,26.6,66.0,1004.7,0.0,0.0,calm
0.0,189.6,25.0,0.0,8.18,419.0,26.29,25.25,26.5,66.0,1004.7,0.0,0.0,calm
0.0,189.4,25.0,0.0,8.18,398.0,26.23,25.25,26.5,66.0,1004.7,1.0,1.0,manual-override
0.0,189.4,24.94,0.0,8.19,398.0,26.29,25.21,26.5,67.0,1004.7,1.0,1.0,manual-override
0.0,189.2,25.0,0.0,8.18,416.0,26.29,25.21,26.5,67.0,1004.7,1.0,1.0,manual-override
0.0,189.2,24.94,0.0,8.19,419.0,26.29,25.19,26.5,68.0,1004.7,0.0,0.0,calm
0.0,189.3,24.94,0.0,8.19,430.0,26.23,25.21,26.5,68.0,1004.7,1.0,1.0,manual-override
